Temperature_K,Substance Number,Substance Comb,Basis Function Number,Comb of Basis Functions,L1Loss,RMSELoss,MSELoss,Substance 0 skewnorm a,Substance 0 skewnorm loc,Substance 0 skewnorm scale,Substance 0 skewnorm 95% low,Substance 0 skewnorm 95% high,Substance 1 skewnorm a,Substance 1 skewnorm loc,Substance 1 skewnorm scale,Substance 1 skewnorm 95% low,Substance 1 skewnorm 95% high,Substance 2 skewnorm a,Substance 2 skewnorm loc,Substance 2 skewnorm scale,Substance 2 skewnorm 95% low,Substance 2 skewnorm 95% high,Substance 3 skewnorm a,Substance 3 skewnorm loc,Substance 3 skewnorm scale,Substance 3 skewnorm 95% low,Substance 3 skewnorm 95% high,Substance 4 skewnorm a,Substance 4 skewnorm loc,Substance 4 skewnorm scale,Substance 4 skewnorm 95% low,Substance 4 skewnorm 95% high,Substance 5 skewnorm a,Substance 5 skewnorm loc,Substance 5 skewnorm scale,Substance 5 skewnorm 95% low,Substance 5 skewnorm 95% high,Substance 6 skewnorm a,Substance 6 skewnorm loc,Substance 6 skewnorm scale,Substance 6 skewnorm 95% low,Substance 6 skewnorm 95% high,Substance 7 skewnorm a,Substance 7 skewnorm loc,Substance 7 skewnorm scale,Substance 7 skewnorm 95% low,Substance 7 skewnorm 95% high,Substance 8 skewnorm a,Substance 8 skewnorm loc,Substance 8 skewnorm scale,Substance 8 skewnorm 95% low,Substance 8 skewnorm 95% high,Substance 9 skewnorm a,Substance 9 skewnorm loc,Substance 9 skewnorm scale,Substance 9 skewnorm 95% low,Substance 9 skewnorm 95% high
293.15,4,"(0, 1, 2, 3)",6,"(0, 1, 2, 3, 5, 6)",0.08579305165993242,0.09978299812767012,0.015261826956451967,0.0032303635887854726,-0.020111072345169033,0.10792457724677548,-0.23136048427387915,0.19169467939656487,0.013967848690533649,-0.01713076022270084,0.09867973460368369,-0.20942779730882904,0.17736563600933464,0.018879421196768616,0.02159194007583847,0.19360231741930217,-0.35490262871609285,0.4039184338291931,0.004317741397169155,-0.007157201630423203,0.029784660217029732,-0.06543110732342272,0.0513219224800214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
293.15,4,"(0, 1, 2, 3)",6,"(0, 1, 2, 4, 5, 6)",0.08578235074749281,0.09671365819742968,0.01476133964852438,-2.2376087022513764,0.12988237629783939,0.16587945339512297,-0.24192027992131454,0.20244922997020576,-21.60626000952285,0.15653498299460805,0.18514339138429686,-0.25844591945218004,0.15250653493576155,2.096616428987866,-0.1776728425727324,0.26843427418317967,-0.30517817326502916,0.4239964446150195,18.09895937089643,-0.04656539820559405,0.05678954191905719,-0.04562030331409092,0.08072283595121613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
293.15,4,"(0, 1, 2, 3)",6,"(0, 1, 3, 4, 5, 6)",0.08788275214490192,0.1002039424111617,0.015728569815988084,0.014124095118233,-0.013207229494197888,0.10832387397690153,-0.22428398723164777,0.20031083734100144,0.006966766080070693,-0.010078490743698001,0.10838937435784565,-0.22191198838263548,0.20295998785254332,2.6169685099619513,-0.22511466686667386,0.29620128416431335,-0.3303022933335466,0.43879169934334833,1.7446165545091623,-0.023954418780195885,0.043218425952583614,-0.049495144231836506,0.07291527681044166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
293.15,4,"(0, 1, 2, 3)",6,"(0, 2, 3, 4, 5, 6)",0.08676907092589757,0.09763926315795758,0.014867237159392218,-0.003292117358560817,-0.004093837745588627,0.10889290201073273,-0.21780529863778336,0.20904556102367822,-3.921218592257976,0.1487443997478013,0.1792182009559085,-0.2529557647112186,0.1832893330138104,2.3127374126586906,-0.17140888321059083,0.26877622481450253,-0.28407004508863587,0.43102687826228575,4.795628128777999,-0.0465633411205771,0.0519088385171956,-0.05360328772370013,0.0697852711186697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
293.15,4,"(0, 1, 2, 3)",6,"(1, 2, 3, 4, 5, 6)",0.08458893518124161,0.0968113003282583,0.014972961458060409,0.006514722231141698,-0.0028028322592248273,0.1085922577215955,-0.21507241788543568,0.21059565991551144,0.006176943261816847,0.0009105691411543616,0.10318300507237403,-0.20081341957765866,0.20365161581361113,0.7186412699567044,-0.10948014280041524,0.21596967491618357,-0.37807096426076403,0.3716090751456637,1.6451021256960061,-0.024028417329107446,0.03931471582467046,-0.048831760131005084,0.06409120345522155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
293.15,4,"(0, 1, 2, 3)",7,"(0, 1, 2, 3, 4, 5, 6)",0.08659842644079492,0.09897166871112482,0.01551546054643354,-2.464274021701476,0.1228225023733114,0.16602201515066384,-0.24929969506238958,0.18680682006115734,0.002369985230366607,-0.012299423721322846,0.10833613983975114,-0.2244291159361744,0.2002399894233999,1.6672111079684293,-0.1563772826219157,0.26235766913371333,-0.31948673207827205,0.431669269876854,3.136985785977614,-0.03563891846625451,0.046179979201668095,-0.04828099693986533,0.0678690128771022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
293.15,5,"(0, 1, 2, 3, 4)",1,"(0,)",0.1390434789716901,0.16276246308353706,0.030893403867349973,0.0058565291043516385,0.030385233267266915,0.17133084928715608,-0.3046128042308005,0.3669844517004347,0.012001987510431238,0.011315856743615581,0.20624409027216492,-0.39092167042800274,0.4175032426005166,0.00298199262908489,-0.027557363291948037,0.18313023539603995,-0.3860492954611731,0.33180600437175456,0.7925691623315758,-0.11268750104524144,0.18112538211934964,-0.32553306403458226,0.2916491386118981,0.01512405500263961,0.0049095763522900345,0.14767865334763375,-0.2827322711575355,0.29611527223256323,,,,,,,,,,,,,,,,,,,,,,,,,
293.15,5,"(0, 1, 2, 3, 4)",1,"(1,)",0.13749453225705902,0.1615564403731135,0.030367683871131996,0.0034782923946921817,0.014388159605781126,0.17070723649078456,-0.319716829797958,0.34944066408569086,0.0009257895441085807,0.00192365047876438,0.20564719965747946,-0.40098543838527884,0.40513655138974003,0.015550151135508963,-0.023958610982759643,0.18060580698684703,-0.3756716317211073,0.33223564215953216,0.9750804841214515,-0.10230728295953434,0.19052254462816035,-0.2969209058947953,0.3241814452386534,0.011826676982771386,-0.0017658561863132722,0.1484421129073052,-0.29129342439019973,0.2905630622533661,,,,,,,,,,,,,,,,,,,,,,,,,
293.15,5,"(0, 1, 2, 3, 4)",1,"(2,)",0.1388871802841846,0.16302133005446018,0.03096710198700187,0.003395179695868032,0.02885720224410161,0.17697296522360217,-0.31752275223605037,0.3761959785128723,-1551488.4067984233,0.26431735642256415,0.33445744892504586,-0.4853364818658167,0.2538361349012189,0.0035697090603897383,-0.020264648186362998,0.18210989413605488,-0.3766733483559264,0.3371814236201587,0.4127018835617239,-0.07526941276305596,0.1620380691443958,-0.32747084404594073,0.2776254178450225,0.0358884902155433,-0.0007262638023772652,0.14891333138322102,-0.2882094226937582,0.2952810565014932,,,,,,,,,,,,,,,,,,,,,,,,,
293.15,5,"(0, 1, 2, 3, 4)",1,"(3,)",0.13868367883483346,0.1632583526713746,0.030924268290247747,-3.5772376997176254,0.23987132927283383,0.28743072492292,-0.40437668156685824,0.30416024830778615,0.001494611496027045,0.002351936972318713,0.1993175901904381,-0.38806539200886736,0.3932446489499516,-4.015026962093214,0.20440666632140392,0.2954724329309676,-0.4578660507821284,0.2591604151339826,1.0324139672935795,-0.1112703532971391,0.18617048896208377,-0.2933157421251458,0.3056488440770239,0.0022899143660902654,-0.005265038339378211,0.1499176118092072,-0.2988237556569202,0.28884150304822137,,,,,,,,,,,,,,,,,,,,,,,,,
